mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,length,width,height,wheelbase,engine_type,fuel_system,transmission_type,num_gears,drive_type,drag_coefficient,frontal_area,compression_ratio,top_speed
48.9,4,155.7,98.0,2198,17.4,2004,2,Subaru Hybrid EX,222.8,82.0,70.1,119.6,Inline-4,MPFI,Manual,6.0,AWD,0.441,33.6,11.0,127.0
46.3,4,106.6,57.0,2145,23.1,2024,2,Tesla Wagon LX,209.6,82.0,72.7,118.3,Inline-4,Carburetor,CVT,,FWD,0.326,35.2,10.2,136.0
43.4,4,121.2,104.0,2404,18.3,2018,1,Chevrolet Hybrid Sport,230.0,82.0,56.7,123.3,Inline-4,MPFI,Automatic,7.0,FWD,0.359,27.6,,123.0
36.5,6,246.3,103.0,3307,19.1,2013,3,Mazda Wagon Limited,230.0,82.0,,125.3,Inline-6,nan,Automatic,6.0,FWD,0.359,28.8,9.0,120.0
38.6,5,168.9,,2324,18.4,1990,1,Mercedes SUV EX,230.0,82.0,57.5,125.6,V12,MPFI,DCT,,FWD,0.397,30.0,11.2,132.0
19.7,8,442.5,308.0,5534,17.7,1990,1,BMW Coupe EX,230.0,82.0,53.2,125.4,V8,GDI,Manual,5.0,RWD,0.486,26.4,10.0,164.0
35.4,4,176.5,136.0,2562,18.2,1978,1,Mazda Luxury GT,230.0,82.0,,126.5,Inline-4,Direct Injection,Manual,5.0,RWD,0.464,24.3,12.3,127.0
40.5,6,191.7,80.0,2997,19.6,2022,3,Ford Crossover EX,230.0,82.0,55.7,129.6,V6,TBI,Semi-Automatic,6.0,RWD,0.383,,12.0,142.0
40.0,6,251.0,149.0,2733,16.0,2013,1,Lexus Sport EX,230.0,82.0,72.6,126.8,V6,MPFI,Automatic,5.0,RWD,,33.5,9.0,132.0
45.0,6,203.0,99.0,3186,20.5,2017,1,Subaru Crossover Limited,230.0,82.0,71.3,126.6,V6,TBI,Manual,,FWD,0.364,33.9,12.6,155.0
